Observation ID,Common Name,Scientific Name,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Country/Region,Habitat Type,Conservation Status
90,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.45,75.8,Subadult,Unknown,Papua New Guinea,Rivers,Least Concern
106,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.26,74.5,Adult,Unknown,Papua New Guinea,Rivers,Least Concern
116,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.32,163.4,Adult,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
122,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.69,100.3,Adult,Male,Papua New Guinea,Freshwater Wetlands,Least Concern
138,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.81,126.9,Adult,Unknown,Papua New Guinea,Rivers,Least Concern
220,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.76,94.8,Subadult,Unknown,Papua New Guinea,Rivers,Least Concern
282,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.33,69.2,Adult,Male,Papua New Guinea,Freshwater Wetlands,Least Concern
309,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.51,43.1,Juvenile,Male,Papua New Guinea,Rivers,Least Concern
312,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.34,43.5,Juvenile,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
326,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.28,73.1,Adult,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
331,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.86,50.8,Juvenile,Male,Papua New Guinea,Freshwater Wetlands,Least Concern
372,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.03,145.9,Subadult,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
395,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.81,110.9,Adult,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
402,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.41,75.0,Adult,Male,Papua New Guinea,Rivers,Least Concern
457,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.25,147.9,Adult,Unknown,Papua New Guinea,Rivers,Least Concern
460,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.23,38.0,Juvenile,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
461,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.95,126.0,Adult,Female,Papua New Guinea,Rivers,Least Concern
468,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.81,97.2,Adult,Male,Papua New Guinea,Freshwater Wetlands,Least Concern
486,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.61,39.8,Juvenile,Male,Papua New Guinea,Rivers,Least Concern
498,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.22,149.7,Subadult,Male,Papua New Guinea,Freshwater Wetlands,Least Concern
511,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,0.57,33.6,Hatchling,Male,Papua New Guinea,Rivers,Least Concern
529,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.18,153.5,Subadult,Male,Papua New Guinea,Rivers,Least Concern
532,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.85,125.8,Adult,Unknown,Papua New Guinea,Rivers,Least Concern
538,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.0,37.4,Juvenile,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
580,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.11,134.8,Adult,Male,Papua New Guinea,Rivers,Least Concern
587,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,0.49,32.2,Hatchling,Male,Papua New Guinea,Rivers,Least Concern
675,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.58,91.1,Subadult,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
684,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.53,80.7,Adult,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
703,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.47,99.3,Adult,Male,Papua New Guinea,Rivers,Least Concern
710,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.49,192.0,Adult,Male,Papua New Guinea,Freshwater Wetlands,Least Concern
717,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.09,146.1,Subadult,Male,Papua New Guinea,Freshwater Wetlands,Least Concern
720,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.41,198.2,Adult,Female,Papua New Guinea,Rivers,Least Concern
729,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.49,97.9,Adult,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
732,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.42,167.1,Adult,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
803,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.9,104.1,Adult,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
821,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.97,117.6,Subadult,Female,Papua New Guinea,Rivers,Least Concern
836,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,0.95,33.9,Juvenile,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
842,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.24,133.7,Adult,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
851,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,0.94,35.8,Juvenile,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
883,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.03,118.1,Adult,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
892,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.74,96.4,Adult,Unknown,Papua New Guinea,Rivers,Least Concern
895,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.83,119.8,Adult,Unknown,Papua New Guinea,Rivers,Least Concern
899,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,0.8,27.7,Juvenile,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
957,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.93,61.7,Juvenile,Unknown,Papua New Guinea,Rivers,Least Concern
959,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,3.01,141.4,Subadult,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
978,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.99,52.1,Juvenile,Male,Papua New Guinea,Rivers,Least Concern
991,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.74,121.5,Adult,Male,Papua New Guinea,Rivers,Least Concern
997,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,2.27,80.3,Subadult,Female,Papua New Guinea,Freshwater Wetlands,Least Concern
1000,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylus,1.73,47.4,Juvenile,Unknown,Papua New Guinea,Freshwater Wetlands,Least Concern
3,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.08,118.2,Juvenile,Unknown,Venezuela,Flooded Savannas,Critically Endangered
28,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.94,367.9,Subadult,Male,Venezuela,Flooded Savannas,Critically Endangered
30,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.71,576.6,Adult,Female,Venezuela,Flooded Savannas,Critically Endangered
48,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.4,316.6,Subadult,Female,Venezuela,Large Rivers,Critically Endangered
57,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,0.43,93.9,Hatchling,Female,Venezuela,Flooded Savannas,Critically Endangered
94,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.96,133.2,Juvenile,Male,Colombia,Flooded Savannas,Critically Endangered
119,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.55,524.1,Adult,Female,Colombia,Flooded Savannas,Critically Endangered
128,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.87,199.9,Subadult,Unknown,Venezuela,Flooded Savannas,Critically Endangered
181,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.7,328.6,Adult,Female,Colombia,Large Rivers,Critically Endangered
190,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.13,101.7,Juvenile,Male,Venezuela,Flooded Savannas,Critically Endangered
226,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.88,346.7,Adult,Unknown,Colombia,Flooded Savannas,Critically Endangered
229,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.99,215.3,Juvenile,Female,Venezuela,Large Rivers,Critically Endangered
231,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,0.82,93.9,Hatchling,Male,Venezuela,Flooded Savannas,Critically Endangered
245,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.14,143.0,Juvenile,Unknown,Venezuela,Large Rivers,Critically Endangered
267,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.82,223.0,Adult,Unknown,Venezuela,Large Rivers,Critically Endangered
278,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.25,253.9,Subadult,Unknown,Colombia,Flooded Savannas,Critically Endangered
318,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.9,121.2,Juvenile,Unknown,Venezuela,Flooded Savannas,Critically Endangered
325,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.8,218.0,Subadult,Unknown,Venezuela,Large Rivers,Critically Endangered
345,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.49,305.4,Adult,Unknown,Colombia,Flooded Savannas,Critically Endangered
358,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,0.65,97.9,Hatchling,Male,Venezuela,Flooded Savannas,Critically Endangered
427,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.88,197.6,Subadult,Male,Colombia,Flooded Savannas,Critically Endangered
466,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.87,347.9,Adult,Unknown,Venezuela,Large Rivers,Critically Endangered
490,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.63,194.4,Adult,Male,Colombia,Flooded Savannas,Critically Endangered
491,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.66,209.5,Juvenile,Female,Colombia,Flooded Savannas,Critically Endangered
497,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.22,441.8,Subadult,Male,Venezuela,Large Rivers,Critically Endangered
504,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.77,400.0,Adult,Female,Colombia,Large Rivers,Critically Endangered
536,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.96,385.8,Subadult,Male,Venezuela,Large Rivers,Critically Endangered
546,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.42,110.1,Juvenile,Female,Venezuela,Flooded Savannas,Critically Endangered
561,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.24,444.1,Subadult,Female,Venezuela,Large Rivers,Critically Endangered
589,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.9,428.9,Subadult,Unknown,Venezuela,Flooded Savannas,Critically Endangered
591,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.25,102.9,Juvenile,Male,Venezuela,Flooded Savannas,Critically Endangered
619,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.66,351.5,Subadult,Female,Venezuela,Large Rivers,Critically Endangered
634,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.08,134.5,Juvenile,Male,Venezuela,Large Rivers,Critically Endangered
656,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.68,202.8,Adult,Male,Colombia,Large Rivers,Critically Endangered
664,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.02,441.0,Adult,Unknown,Colombia,Flooded Savannas,Critically Endangered
670,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.98,357.4,Adult,Unknown,Venezuela,Flooded Savannas,Critically Endangered
693,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.35,472.1,Adult,Female,Venezuela,Large Rivers,Critically Endangered
698,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,0.34,98.1,Hatchling,Female,Venezuela,Flooded Savannas,Critically Endangered
759,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.9,413.2,Adult,Male,Venezuela,Large Rivers,Critically Endangered
763,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,0.8,102.1,Hatchling,Male,Venezuela,Flooded Savannas,Critically Endangered
787,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.41,113.1,Juvenile,Female,Venezuela,Large Rivers,Critically Endangered
789,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.63,193.2,Juvenile,Female,Venezuela,Large Rivers,Critically Endangered
808,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.16,389.4,Adult,Female,Colombia,Large Rivers,Critically Endangered
827,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.57,353.0,Adult,Female,Venezuela,Flooded Savannas,Critically Endangered
835,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.02,162.7,Juvenile,Male,Colombia,Large Rivers,Critically Endangered
849,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.95,216.9,Juvenile,Male,Venezuela,Flooded Savannas,Critically Endangered
855,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.98,445.1,Adult,Unknown,Colombia,Flooded Savannas,Critically Endangered
861,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.81,636.5,Adult,Male,Colombia,Large Rivers,Critically Endangered
872,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.9,427.3,Subadult,Female,Venezuela,Flooded Savannas,Critically Endangered
874,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.26,307.4,Adult,Female,Venezuela,Large Rivers,Critically Endangered
891,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.79,718.2,Adult,Unknown,Venezuela,Large Rivers,Critically Endangered
898,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.54,593.9,Adult,Unknown,Venezuela,Large Rivers,Critically Endangered
908,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.16,404.5,Adult,Unknown,Venezuela,Large Rivers,Critically Endangered
938,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.61,364.2,Adult,Female,Venezuela,Large Rivers,Critically Endangered
944,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,2.75,204.8,Adult,Male,Colombia,Flooded Savannas,Critically Endangered
962,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,4.5,581.0,Adult,Male,Colombia,Large Rivers,Critically Endangered
964,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,3.38,310.3,Adult,Unknown,Venezuela,Flooded Savannas,Critically Endangered
975,Orinoco Crocodile,Crocodylus intermedius,Crocodylus,1.73,117.2,Juvenile,Unknown,Venezuela,Flooded Savannas,Critically Endangered
39,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.05,24.0,Juvenile,Female,Australia,Freshwater Rivers,Least Concern
65,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.93,46.7,Adult,Female,Australia,Freshwater Rivers,Least Concern
109,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.57,82.1,Adult,Female,Australia,Billabongs,Least Concern
113,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.59,37.4,Juvenile,Unknown,Australia,Gorges,Least Concern
114,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.77,38.1,Juvenile,Unknown,Australia,Billabongs,Least Concern
151,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.17,60.6,Adult,Female,Australia,Freshwater Rivers,Least Concern
175,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.85,122.1,Adult,Unknown,Australia,Billabongs,Least Concern
233,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.94,54.2,Subadult,Unknown,Australia,Freshwater Rivers,Least Concern
244,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.69,45.7,Adult,Unknown,Australia,Freshwater Rivers,Least Concern
260,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.86,107.4,Adult,Male,Australia,Gorges,Least Concern
290,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.47,30.9,Juvenile,Female,Australia,Gorges,Least Concern
327,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.75,42.5,Juvenile,Female,Australia,Billabongs,Least Concern
354,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.88,20.5,Juvenile,Male,Australia,Gorges,Least Concern
370,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.04,59.3,Subadult,Male,Australia,Billabongs,Least Concern
388,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.58,36.6,Juvenile,Unknown,Australia,Freshwater Rivers,Least Concern
392,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.06,63.1,Subadult,Unknown,Australia,Gorges,Least Concern
398,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.91,54.2,Adult,Female,Australia,Billabongs,Least Concern
409,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.89,42.6,Adult,Female,Australia,Freshwater Rivers,Least Concern
429,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.07,53.4,Adult,Female,Australia,Billabongs,Least Concern
439,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.34,76.8,Subadult,Male,Australia,Billabongs,Least Concern
440,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.31,62.6,Adult,Unknown,Australia,Freshwater Rivers,Least Concern
473,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.91,26.9,Juvenile,Unknown,Australia,Gorges,Least Concern
476,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.88,26.6,Juvenile,Male,Australia,Gorges,Least Concern
499,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.27,19.9,Hatchling,Female,Australia,Billabongs,Least Concern
506,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.84,25.0,Juvenile,Female,Australia,Billabongs,Least Concern
513,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.01,60.8,Adult,Unknown,Australia,Freshwater Rivers,Least Concern
553,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.96,57.1,Subadult,Unknown,Australia,Gorges,Least Concern
556,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.39,18.0,Hatchling,Female,Australia,Billabongs,Least Concern
600,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.63,97.4,Adult,Female,Australia,Billabongs,Least Concern
